site,year,month,day_frac_T4,day_frac_arh,logger,T4_mean,T4_absmax,T4_absmin,T4_meanmax,T4_meanmin,arh_sd,arh_cv,arh_med,arh_mean,arh_absmax,arh_absmin,T4_TDD,T4_GDD3,T4_GDD5,T4_FDD,T4_TDD_days,T4_GDD3_days,T4_GDD5_days,T4_FDD_days
41,2019,11,1,1,a,-2.32,5.3,-14.1,-0.97,-4.04,3.61,0.04,97.3,96.3,100,88.9,11.71,3.09,0,-81.4,7,1,0,23
41,2019,12,1,1,a,-2.21,1.6,-12.8,-1.07,-3.62,1.83,0.02,94.6,94.2,98.9,89.4,2.42,0,0,-70.79,3,0,0,28
41,2020,1,1,1,a,-2.45,3.7,-16.9,-0.79,-4.15,3.88,0.04,99.9,97.8,100,75.4,9.18,0,0,-85.27,10,0,0,21
41,2020,2,1,1,a,-3.66,3.1,-15.1,-1.74,-5.84,4.05,0.04,98.4,96.3,100,79.7,6.42,0,0,-112.62,9,0,0,20
41,2020,3,1,1,a,-1.75,6.9,-11.2,0.88,-4.61,14.76,0.18,84.6,82.3,100,34.1,18.42,3.57,0,-72.63,11,1,0,20
41,2020,4,1,1,a,0.56,11.5,-9.2,3.75,-2.37,12.46,0.16,76.2,77.2,100,31.4,33.69,20.96,0,-17.02,17,5,0,13
41,2020,5,1,1,a,7.34,22.2,-2.6,11.8,2.98,16.25,0.25,59.5,64.9,99.6,25.6,227.43,221.97,194.88,0,31,28,21,0
41,2020,6,1,1,a,17.2,29.6,7.5,21.64,12.71,12.39,0.2,59.1,62.9,99,34.5,515.86,515.86,515.86,0,30,30,30,0
41,2020,7,1,1,a,14.86,25.9,9.2,18.43,11.67,10.24,0.12,82.5,82.8,100,41.8,460.76,460.76,460.76,0,31,31,31,0
41,2020,8,1,1,a,14.33,24.4,7,17.75,11.31,7.52,0.09,83.6,82.9,99.3,44,444.28,444.28,444.28,0,31,31,31,0
41,2020,9,1,1,a,10.14,17.3,2.6,12.97,7.59,6.72,0.07,93.6,92,100,59.9,304.18,304.18,304.18,0,30,30,30,0
41,2020,10,1,1,a,5.24,14.1,-2.4,6.86,3.67,2.11,0.02,98.5,97.8,100,80.6,166.61,155.71,147.48,-4.06,27,19,17,4
41,2020,11,1,1,a,1.21,9.1,-5.1,2.6,-0.35,4.65,0.05,96.7,95.1,100,71.8,53.9,34.01,25.06,-17.74,19,6,4,11
41,2020,12,1,1,a,-2.77,2.4,-8.9,-1.38,-4.17,1.57,0.02,96.5,97.1,100,94.6,4.46,0,0,-90.41,4,0,0,27
41,2021,1,1,1,a,-8.62,0.1,-27.9,-6.59,-11.01,3.23,0.03,94.8,94.4,99.1,83.5,0,0,0,-267.35,0,0,0,31
41,2021,2,1,1,a,-12.24,1.6,-25.7,-9.88,-14.78,2.24,0.02,92.4,92.4,98.9,84.9,0.79,0,0,-343.53,2,0,0,26
41,2021,3,1,1,a,-3.78,9,-23.8,-0.45,-6.85,6.65,0.08,83.9,84.8,97.5,46.9,21.56,10.51,0,-138.87,12,3,0,19
